"MEASURE","Data item","REGIONTYPE","Geography Level","LGA_2019","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","24600","Melbourne (C)","A","Annual","2016","2016",48.1,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","24600","Melbourne (C)","A","Annual","2016","2016",40179,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","24600","Melbourne (C)","A","Annual","2016","2016",77,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","24650","Melton (C)","A","Annual","2016","2016",83.1,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","24650","Melton (C)","A","Annual","2016","2016",32.2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","24650","Melton (C)","A","Annual","2016","2016",49779,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","24650","Melton (C)","A","Annual","2016","2016",50.9,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","24780","Mildura (RC)","A","Annual","2016","2016",86.5,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","24780","Mildura (RC)","A","Annual","2016","2016",9.5,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","24780","Mildura (RC)","A","Annual","2016","2016",39421,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","24780","Mildura (RC)","A","Annual","2016","2016",33.5,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","24850","Mitchell (S)","A","Annual","2016","2016",87.2,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","24850","Mitchell (S)","A","Annual","2016","2016",7.2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","24850","Mitchell (S)","A","Annual","2016","2016",47849,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","24850","Mitchell (S)","A","Annual","2016","2016",38.8,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","24900","Moira (S)","A","Annual","2016","2016",88,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","24900","Moira (S)","A","Annual","2016","2016",4.6,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","24900","Moira (S)","A","Annual","2016","2016",40056,,
